LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1759437221.670622,156964.000,22697,1,BI,1,100,5200
1759437222.523670,157817.000,22829,1,BI,1,100,840
1759437223.363718,158657.000,22959,1,BI,1,100,840
1759437224.976810,160270.000,23222,1,BI,1,100,1600
1759437225.736853,161030.000,23355,1,BI,1,100,760
1759437227.749967,163043.000,23676,1,BI,1,100,2000
1759437228.269997,163563.000,23758,1,BI,1,100,520
1759437229.643075,164936.000,23966,1,BI,1,100,1360
1759437230.576128,165869.000,24126,1,BI,1,100,920
1759437233.110272,168403.000,24510,1,BI,1,100,2520
1759437233.950319,169243.000,24639,1,BI,1,100,840
1759437235.643415,170936.000,24911,1,BI,1,100,1680
1759437236.283452,171576.000,25014,1,BI,1,100,640
1759437237.776537,173069.000,25257,1,BI,1,100,1480
1759437238.296566,173589.000,25337,1,BI,1,100,520
1759437238.989605,174282.000,25452,1,BI,1,100,680
1759437241.042722,176335.000,25774,1,BI,1,100,2040
1759437243.535864,178828.000,26148,1,BI,1,100,2480
1759437244.455916,179748.000,26294,1,BI,1,100,920
1759437245.268962,180561.000,26424,1,BI,1,100,800
1759437247.029062,182321.000,26718,1,BI,1,100,1760
1759437247.842108,183134.000,26847,1,BI,1,100,800
1759437248.442142,183734.000,26946,1,BI,1,100,600
1759437249.082179,184374.000,27043,1,BI,1,100,640
1759437249.776218,185068.000,27158,1,BI,1,100,680
1759437250.336250,185628.000,27255,1,BI,1,100,560
1759437250.975286,186267.000,27354,1,BI,1,100,640
1759437252.389366,187681.000,27583,1,BI,1,100,1400
1759437253.229414,188521.000,27715,1,BI,1,100,840
1759437256.655609,191947.000,28260,1,BI,1,100,3400
1759437257.495656,192787.000,28393,1,BI,1,100,840
1759437258.188696,193480.000,28509,1,BI,1,100,680
1759437259.908793,195200.000,28764,1,BI,1,100,1720
1759437260.761842,196053.000,28911,1,BI,1,100,840
1759437261.281871,196573.000,28992,1,BI,1,100,520
1759437262.254927,197546.000,29139,1,BI,1,100,960
1759437263.054972,198346.000,29271,1,BI,1,100,800
1759437263.855017,199146.000,29405,1,BI,1,100,800
1759437264.788070,200079.000,29548,1,BI,1,100,920
1759437265.708123,200999.000,29714,1,BI,1,100,920
1759437266.401162,201692.000,29811,1,BI,1,100,680
1759437267.122203,202413.000,29929,1,BI,1,100,720
1759437268.001253,203292.000,30072,1,BI,1,100,880
1759437268.735295,204026.000,30190,1,BI,1,100,720
1759437269.455335,204746.000,30306,1,BI,1,100,720
1759437270.175376,205466.000,30420,1,BI,1,100,720
1759437274.574626,209865.000,31132,1,BI,1,100,4360
1759437276.667745,211958.000,31468,1,BI,1,100,2080
1759437277.667802,212958.000,31615,1,BI,1,100,1000
1759437278.467847,213758.000,31748,1,BI,1,100,800
1759437279.200889,214491.000,31878,1,BI,1,100,720
1759437280.240948,215531.000,32038,1,BI,1,100,1040
1759437281.254005,216544.000,32200,1,BI,1,100,1000
1759437283.108111,218398.000,32492,1,BI,1,100,1840
1759437283.907156,219197.000,32620,1,BI,1,100,800
1759437284.907213,220197.000,32780,1,BI,1,100,1000
1759437285.721259,221011.000,32910,1,BI,1,100,800
1759437286.601309,221891.000,33041,1,BI,1,100,880
1759437287.454357,222744.000,33187,1,BI,1,100,840
1759437288.374410,223664.000,33331,1,BI,1,100,920
1759437289.147454,224437.000,33460,1,BI,1,100,760
1759437290.027503,225317.000,33588,1,BI,1,100,880
1759437290.987558,226277.000,33750,1,BI,1,100,960
1759437291.840606,227130.000,33883,1,BI,1,100,840
1759437292.520645,227810.000,33997,1,BI,1,100,680
1759437293.533703,228823.000,34159,1,BI,1,100,1000
1759437294.373750,229663.000,34291,1,BI,1,100,840
1759437295.173796,230463.000,34422,1,BI,1,100,800
1759437296.026844,231316.000,34568,1,BI,1,100,840
1759437296.866892,232156.000,34699,1,BI,1,100,840
1759437297.719940,233009.000,34829,1,BI,1,100,840
1759437298.319974,233609.000,34928,1,BI,1,100,600
1759437300.054073,235343.000,35204,1,BI,1,100,1720
1759437300.933123,236222.000,35351,1,BI,1,100,880
1759437301.907178,237196.000,35501,1,BI,1,100,960
1759437302.627219,237916.000,35629,1,BI,1,100,720
1759437303.387262,238676.000,35742,1,BI,1,100,760
1759437304.480324,239769.000,35920,1,BI,1,100,1080
1759437305.360374,240649.000,36068,1,BI,1,100,880
1759437307.493495,242782.000,36404,1,BI,1,100,2120
1759437309.706621,244995.000,36741,1,BI,1,100,2200
1759437310.839685,246128.000,36935,1,BI,1,100,1120
1759437311.679733,246968.000,37065,1,BI,1,100,840
1759437312.132759,247421.000,37136,1,BI,1,100,440
1759437313.852856,249141.000,37406,1,BI,1,100,1720
1759437316.319997,251608.000,37807,1,BI,1,100,2440
1759437318.973147,254261.000,38223,1,BI,1,100,2640
1759437321.706302,256994.000,38661,1,BI,1,100,2720
1759437322.639355,257927.000,38808,1,BI,1,100,920
1759437323.399399,258687.000,38922,1,BI,1,100,760
1759437324.239446,259527.000,39065,1,BI,1,100,840
1759437325.092495,260380.000,39193,1,BI,1,100,840
1759437325.932542,261220.000,39326,1,BI,1,100,840
1759437327.585636,262873.000,39602,1,BI,1,100,1640
1759437328.798705,264086.000,39795,1,BI,1,100,1200
1759437331.451856,266739.000,40214,1,BI,1,100,2640
1759437332.411910,267699.000,40358,1,BI,1,100,960
1759437333.425968,268713.000,40517,1,BI,1,100,1000
1759437334.225013,269512.000,40646,1,BI,1,100,800
1759437335.159066,270446.000,40790,1,BI,1,100,920
1759437335.959112,271246.000,40920,1,BI,1,100,800
1759437337.372192,272659.000,41148,1,BI,1,100,1400
1759437342.918507,278205.000,42027,1,BI,1,100,5520
1759437344.651605,279938.000,42299,1,BI,1,100,1720
1759437345.944679,281231.000,42512,1,BI,1,100,1280
1759437346.624717,281911.000,42626,1,BI,1,100,680
1759437347.264754,282551.000,42724,1,BI,1,100,640
1759437347.957793,283244.000,42839,1,BI,1,100,680
1759437352.145031,287431.000,43497,1,BI,1,100,4160
1759437354.678175,289964.000,43894,1,BI,1,100,2520
1759437355.518222,290804.000,44025,1,BI,1,100,840
1759437356.291266,291577.000,44155,1,BI,1,100,760
1759437356.971305,292257.000,44256,1,BI,1,100,680
