LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1032483.150738,1032483.150737,1760462412.963543,93957.000,12431,1,BV,1,100,3.58
1032488.150112,1032488.150111,1760462417.962929,98956.000,13231,1,BV,1,100,3.60
1032493.150486,1032493.150485,1760462422.963315,103956.000,14021,1,BV,1,100,3.61
1032498.149860,1032498.149858,1760462427.962702,108955.000,14810,1,BV,1,100,3.61
1032503.150234,1032503.150232,1760462432.963088,113955.000,15613,1,BV,1,100,3.60
1032508.149608,1032508.149606,1760462437.962474,118954.000,16382,1,BV,1,100,3.61
1032513.149982,1032513.149980,1760462442.962860,123954.000,17182,1,BV,1,100,3.59
1032518.149356,1032518.149354,1760462447.962246,128953.000,17981,1,BV,1,100,3.59
1032523.149730,1032523.149728,1760462452.962632,133953.000,18780,1,BV,1,100,3.60
1032528.149104,1032528.149101,1760462457.962018,138952.000,19562,1,BV,1,100,3.60
1032533.149477,1032533.149475,1760462462.962404,143952.000,20345,1,BV,1,100,3.62
1032538.148851,1032538.148849,1760462467.961790,148951.000,21136,1,BV,1,100,3.61
1032543.149225,1032543.149223,1760462472.962176,153951.000,21917,1,BV,1,100,3.58
1032548.148599,1032548.148597,1760462477.961562,158950.000,22738,1,BV,1,100,3.59
1032553.148973,1032553.148971,1760462482.961948,163950.000,23537,1,BV,1,100,3.58
1032558.148347,1032558.148345,1760462487.961334,168949.000,24342,1,BV,1,100,3.59
1032563.148721,1032563.148718,1760462492.961720,173949.000,25153,1,BV,1,100,3.58
1032568.148095,1032568.148092,1760462497.961107,178948.000,25948,1,BV,1,100,3.58
1032573.148469,1032573.148466,1760462502.961493,183948.000,26789,1,BV,1,100,3.58
1032578.147843,1032578.147840,1760462507.960879,188947.000,27597,1,BV,1,100,3.58
1032583.148216,1032583.148214,1760462512.961265,193947.000,28411,1,BV,1,100,3.59
1032588.147590,1032588.147588,1760462517.960651,198946.000,29206,1,BV,1,100,3.61
1032593.147964,1032593.147961,1760462522.961037,203946.000,29985,1,BV,1,100,3.61
