LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1032476.210507,1032476.210511,1760462406.023301,88330.000,11749,1,SA,1,100,0.001799
1032477.543526,1032477.543530,1760462407.356323,89663.000,12006,1,SA,1,100,0.002483
1032478.743544,1032478.743548,1760462408.556344,90863.000,12212,1,SA,1,100,0.003882
1032480.410569,1032480.410572,1760462410.223372,92530.000,12437,1,SA,1,100,0.001934
1032481.143579,1032481.143583,1760462410.956385,93263.000,12566,1,SA,1,100,0.001598
1032482.343597,1032482.343601,1760462412.156405,94463.000,12693,1,SA,1,100,0.000066
1032482.543600,1032482.543604,1760462412.356409,94663.000,12822,1,SA,1,100,0.002325
1032483.876619,1032483.876623,1760462413.689432,95996.000,12979,1,SA,1,100,0.001191
1032484.609630,1032484.609634,1760462414.422444,96729.000,13107,1,SA,1,100,0.000669
1032485.809648,1032485.809651,1760462415.622465,97929.000,13320,1,SA,1,100,0.000842
1032486.809663,1032486.809666,1760462416.622482,98929.000,13468,1,SA,1,100,0.002542
1032488.275684,1032488.275687,1760462418.088507,100395.000,13647,1,SA,1,100,0.000392
1032489.409701,1032489.409704,1760462419.222526,101529.000,13958,1,SA,1,100,0.001272
1032500.207859,1032500.207862,1760462430.020710,112327.000,15566,1,SA,1,100,0.000845
1032504.141917,1032504.141920,1760462433.954778,116261.000,16220,1,SA,1,100,0.000691
1032505.341935,1032505.341937,1760462435.154798,117461.000,16459,1,SA,1,100,0.002423
1032511.674028,1032511.674030,1760462441.486906,123793.000,17371,1,SA,1,100,0.000006
1032513.407053,1032513.407055,1760462443.219936,125526.000,17708,1,SA,1,100,0.000333
1032513.940061,1032513.940063,1760462443.752945,126059.000,17775,1,SA,1,100,0.000249
1032524.007209,1032524.007210,1760462453.820117,136126.000,19352,1,SA,1,100,0.000099
1032527.473260,1032527.473261,1760462457.286176,139592.000,19875,1,SA,1,100,0.000044
1032531.405318,1032531.405318,1760462461.218243,143524.000,20615,1,SA,1,100,0.001152
1032535.805383,1032535.805383,1760462465.618318,147924.000,21306,1,SA,1,100,0.000676
1032536.538393,1032536.538394,1760462466.351331,148657.000,21339,1,SA,1,100,0.000039
1032549.737587,1032549.737587,1760462479.550556,161856.000,23637,1,SA,1,100,0.002465
1032558.736720,1032558.736718,1760462488.549710,170855.000,24831,1,SA,1,100,0.000039
1032565.269816,1032565.269814,1760462495.082821,177388.000,26014,1,SA,1,100,0.001420
1032569.668880,1032569.668878,1760462499.481896,181787.000,26735,1,SA,1,100,0.000939
1032576.601982,1032576.601980,1760462506.415015,188720.000,27839,1,SA,1,100,0.014419
